geometry,centroid,mugs,cens,club,hood
"POLYGON ((-58.43824026699871 -34.54309437944472, -58.43824026699871 -34.54531628020794, -58.44069496367219 -34.54531628020794, -58.44069496367219 -34.54309437944472, -58.43824026699871 -34.54309437944472))",POINT (-58.43946761533545 -34.54420532982633),1,0,0,BELGRANO
"POLYGON ((-58.43578557032523 -34.54309437944472, -58.43578557032523 -34.54531628020794, -58.43824026699871 -34.54531628020794, -58.43824026699871 -34.54309437944472, -58.43578557032523 -34.54309437944472))",POINT (-58.43701291866196 -34.54420532982633),0,1,0,BELGRANO
"POLYGON ((-58.43333087365175 -34.54309437944472, -58.43333087365175 -34.54531628020794, -58.43578557032523 -34.54531628020794, -58.43578557032523 -34.54309437944472, -58.43333087365175 -34.54309437944472))",POINT (-58.43455822198849 -34.54420532982633),0,1,0,BELGRANO
"POLYGON ((-58.48978889714181 -34.54531628020794, -58.48978889714181 -34.54753818097116, -58.4922435938153 -34.54753818097116, -58.4922435938153 -34.54531628020794, -58.48978889714181 -34.54531628020794))",POINT (-58.49101624547855 -34.54642723058955),5,0,0,SAAVEDRA
"POLYGON ((-58.48733420046833 -34.54531628020794, -58.48733420046833 -34.54753818097116, -58.48978889714181 -34.54753818097116, -58.48978889714181 -34.54531628020794, -58.48733420046833 -34.54531628020794))",POINT (-58.48856154880507 -34.54642723058955),7,0,0,SAAVEDRA
"POLYGON ((-58.48487950379485 -34.54531628020794, -58.48487950379485 -34.54753818097116, -58.48733420046833 -34.54753818097116, -58.48733420046833 -34.54531628020794, -58.48487950379485 -34.54531628020794))",POINT (-58.4861068521316 -34.54642723058955),3,0,0,SAAVEDRA
"POLYGON ((-58.48242480712138 -34.54531628020794, -58.48242480712138 -34.54753818097116, -58.48487950379485 -34.54753818097116, -58.48487950379485 -34.54531628020794, -58.48242480712138 -34.54531628020794))",POINT (-58.48365215545811 -34.54642723058956),3,0,0,SAAVEDRA
"POLYGON ((-58.47997011044789 -34.54531628020794, -58.47997011044789 -34.54753818097116, -58.48242480712138 -34.54753818097116, -58.48242480712138 -34.54531628020794, -58.47997011044789 -34.54531628020794))",POINT (-58.48119745878464 -34.54642723058955),3,0,0,SAAVEDRA
"POLYGON ((-58.47751541377441 -34.54531628020794, -58.47751541377441 -34.54753818097116, -58.47997011044789 -34.54753818097116, -58.47997011044789 -34.54531628020794, -58.47751541377441 -34.54531628020794))",POINT (-58.47874276211116 -34.54642723058955),4,0,1,SAAVEDRA
"POLYGON ((-58.47506071710093 -34.54531628020794, -58.47506071710093 -34.54753818097116, -58.47751541377441 -34.54753818097116, -58.47751541377441 -34.54531628020794, -58.47506071710093 -34.54531628020794))",POINT (-58.47628806543767 -34.54642723058955),1,0,1,SAAVEDRA
"POLYGON ((-58.47260602042745 -34.54531628020794, -58.47260602042745 -34.54753818097116, -58.47506071710093 -34.54753818097116, -58.47506071710093 -34.54531628020794, -58.47260602042745 -34.54531628020794))",POINT (-58.47383336876419 -34.54642723058955),4,0,1,SAAVEDRA
"POLYGON ((-58.47015132375397 -34.54531628020794, -58.47015132375397 -34.54753818097116, -58.47260602042745 -34.54753818097116, -58.47260602042745 -34.54531628020794, -58.47015132375397 -34.54531628020794))",POINT (-58.47137867209072 -34.54642723058955),1,0,1,SAAVEDRA
