geometry,timestamp,violence
POINT (-58.3829 -34.6255),2016-10-29 06:10:00,Robo
POINT (-58.3828 -34.6265),2016-10-29 06:00:00,Robo
POINT (-58.3826 -34.6262),2016-10-29 05:45:00,Robo
POINT (-58.3817 -34.6181),2016-10-29 00:15:00,Robo
POINT (-58.375 -34.6393),2016-10-29 06:30:00,Robo
POINT (-58.373 -34.63800000000001),2016-10-29 22:00:00,Robo
POINT (-58.4691 -34.6705),2016-10-29 06:00:00,Robo
POINT (-58.5019 -34.6678),2016-10-29 01:30:00,Robo
POINT (-58.4765 -34.6673),2016-10-29 07:30:00,Robo
POINT (-58.5141 -34.6593),2016-10-29 01:30:00,Robo
POINT (-58.4342 -34.654),2016-10-29 23:00:00,Robo
POINT (-58.4318 -34.6539),2016-10-29 06:00:00,Robo
POINT (-58.3972 -34.651),2016-10-29 01:30:00,Robo
POINT (-58.4985 -34.6489),2016-10-29 07:00:00,Robo
POINT (-58.3806 -34.6021),2016-10-28 22:00:00,Robo
POINT (-58.3789 -34.6407),2016-10-28 22:24:00,Robo
POINT (-58.3779 -34.6171),2016-10-28 23:00:00,Robo
POINT (-58.375 -34.5947),2016-10-28 23:30:00,Robo
POINT (-58.3711 -34.6377),2016-10-28 22:45:00,Robo
POINT (-58.4737 -34.6837),2016-10-28 23:00:00,Robo
POINT (-58.4664 -34.6765),2016-10-28 23:45:00,Robo
POINT (-58.4664 -34.6765),2016-10-28 23:00:00,Robo
POINT (-58.4359 -34.6534),2016-10-28 23:23:00,Robo
POINT (-58.4258 -34.6444),2016-10-28 23:30:00,Robo
POINT (-58.5296 -34.6413),2016-10-28 22:00:00,Robo
POINT (-58.4551 -34.6272),2016-10-28 23:30:00,Robo
POINT (-58.5167 -34.6244),2016-10-28 22:15:00,Robo
POINT (-58.416 -34.5978),2016-10-28 23:50:00,Robo
POINT (-58.4558 -34.5867),2016-10-28 22:30:00,Robo
POINT (-58.4479 -34.5589),2016-10-28 22:00:00,Robo
POINT (-58.4458 -34.6368),2016-10-28 22:00:00,Robo
POINT (-58.4406 -34.5944),2016-10-28 22:00:00,Robo
POINT (-58.4296 -34.6157),2016-10-28 22:50:00,Robo
POINT (-58.4255 -34.6229),2016-10-28 22:55:00,Robo
POINT (-58.422 -34.6059),2016-10-28 22:39:00,Robo
POINT (-58.415 -34.5919),2016-10-28 22:00:00,Robo
POINT (-58.4119 -34.6061),2016-10-28 23:00:00,Robo
POINT (-58.4095 -34.6037),2016-10-28 23:00:00,Robo
POINT (-58.4025 -34.593),2016-10-28 23:30:00,Robo
